date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-05-2021,West Bengal,4,6,3962
01-06-2021,Andhra Pradesh,4,39,6098
01-06-2021,Bihar,4,4,5692
01-06-2021,Chandigarh,4,12,2050
01-06-2021,Chhattisgarh,4,5,4526
01-06-2021,Delhi,4,148,12914
01-06-2021,Goa,4,14,749
01-06-2021,Gujarat,4,61,19359
01-06-2021,Haryana,4,4,13420
01-06-2021,Jharkhand,4,4,4405
01-06-2021,Karnataka,4,71,8030
01-06-2021,Kerala,4,140,10018
01-06-2021,Madhya Pradesh,4,13,12092
01-06-2021,Maharashtra,4,190,24817
01-06-2021,Odisha,4,2,3041
01-06-2021,Punjab,4,3,7126
01-06-2021,Rajasthan,4,34,12070
01-06-2021,Tamil Nadu,4,42,7793
01-06-2021,Uttar Pradesh,4,3,25704
01-06-2021,Uttarakhand,4,7,2972
01-06-2021,West Bengal,4,18,6316
01-07-2021,Andaman & Nicobar Island,4,8,176
01-07-2021,Andhra Pradesh,4,36,7877
01-07-2021,Bihar,4,5,5438
01-07-2021,Chandigarh,4,9,1916
01-07-2021,Chhattisgarh,4,12,4916
01-07-2021,Delhi,4,131,15033
01-07-2021,Goa,4,10,982
01-07-2021,Gujarat,4,53,23792
01-07-2021,Haryana,4,6,14524
01-07-2021,Himachal Pradesh,4,2,3811
01-07-2021,Jharkhand,4,4,5020
01-07-2021,Karnataka,4,196,21640
01-07-2021,Kerala,4,139,18406
01-07-2021,Madhya Pradesh,4,17,14581
01-07-2021,Maharashtra,4,286,38063
01-07-2021,Odisha,4,3,5552
01-07-2021,Punjab,4,3,9328
01-07-2021,Rajasthan,4,52,14374
01-07-2021,Tamil Nadu,4,88,20857
01-07-2021,Uttar Pradesh,4,8,27999
01-07-2021,Uttarakhand,4,11,4182
01-07-2021,West Bengal,4,37,8919
01-08-2021,Andhra Pradesh,4,78,8245
01-08-2021,Assam,4,2,6447
01-08-2021,Bihar,4,7,5724
01-08-2021,Chandigarh,4,9,1845
01-08-2021,Chhattisgarh,4,11,4350
01-08-2021,Delhi,4,157,13177
01-08-2021,Goa,4,19,1439
01-08-2021,Gujarat,4,83,20394
01-08-2021,Haryana,4,3,16027
01-08-2021,Jharkhand,4,3,5113
01-08-2021,Karnataka,4,137,21975
01-08-2021,Kerala,4,183,22813
01-08-2021,Madhya Pradesh,4,26,12758
01-08-2021,Maharashtra,4,197,35127
01-08-2021,Odisha,4,4,5453
01-08-2021,Punjab,4,4,9209
01-08-2021,Rajasthan,4,53,11454
01-08-2021,Tamil Nadu,4,88,20865
01-08-2021,Uttar Pradesh,4,3,24012
01-08-2021,Uttarakhand,4,6,3760
01-08-2021,West Bengal,4,28,9198
01-09-2021,Andhra Pradesh,4,39,7952
01-09-2021,Bihar,4,4,4339
01-09-2021,Chandigarh,4,20,1607
01-09-2021,Chhattisgarh,4,12,3650
01-09-2021,Delhi,4,265,9181
01-09-2021,Goa,4,34,1277
01-09-2021,Gujarat,4,131,24797
01-09-2021,Haryana,4,7,14879
01-09-2021,Jharkhand,4,12,3892
01-09-2021,Karnataka,4,227,21407
